id,lead_in,illustration,explanation,learning_objectives,controlled_practice,extended_practice
18,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Experimental method,Communicate effectively,example10,simulation exercise
19,Collaboration and teamwork are essential in this course,[],Machine learning algorithm,Understand key concepts,example2,individual research project
20,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,[],Statistical analysis,Understand key concepts,example8,simulation exercise
21,Collaboration and teamwork are essential in this course,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Demonstrate critical thinking skills,example2,field trip report
22,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,"[{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,Analyze and evaluate information,example13,group presentation
23,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Apply knowledge in practical scenarios,example6,field trip report
24,Collaboration and teamwork are essential in this course,"[{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Statistical analysis,Understand key concepts,example11,field trip report
25,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,"[{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Demonstrate critical thinking skills,example8,group presentation
26,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Theoretical approach,Apply knowledge in practical scenarios,example5,field trip report
27,and students will be challenged to work together to solve complex problems.,"[{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Demonstrate critical thinking skills,example6,simulation exercise
28,Collaboration and teamwork are essential in this course,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Understand key concepts,example11,simulation exercise
29,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Communicate effectively,example11,field trip report
30,and students will be challenged to work together to solve complex problems.,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Theoretical approach,Understand key concepts,example6,field trip report
31,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Theoretical approach,Demonstrate critical thinking skills,example11,simulation exercise
32,and students will be challenged to work together to solve complex problems.,"[{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,Analyze and evaluate information,example12,field trip report
33,and students will be challenged to work together to solve complex problems.,"[{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,Apply knowledge in practical scenarios,example1,individual research project
34,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,[],Data visualization technique,Apply knowledge in practical scenarios,example11,group presentation
35,and students will be challenged to work together to solve complex problems.,[],Theoretical approach,Demonstrate critical thinking skills,example1,individual research project
36,Students will face the challenge of balancing coursework with other commitments and managing their time effectively.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Communicate effectively,example7,case study analysis
37,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Statistical analysis,Understand key concepts,example9,case study analysis
38,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Statistical analysis,Apply knowledge in practical scenarios,example10,individual research project
39,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Learn from your mistakes"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Experimental method,Understand key concepts,example8,case study analysis
40,Collaboration and teamwork are essential in this course,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Machine learning algorithm,Analyze and evaluate information,example2,individual research project
41,Collaboration and teamwork are essential in this course,"[{""string"":""Seek support from others"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,Understand key concepts,example10,simulation exercise
42,Collaboration and teamwork are essential in this course,"[{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Analyze and evaluate information,example10,simulation exercise
43,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Embrace change"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Apply knowledge in practical scenarios,example3,individual research project
44,Collaboration and teamwork are essential in this course,"[{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Data visualization technique,Apply knowledge in practical scenarios,example13,individual research project
45,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Communicate effectively,example10,field trip report
46,The instructor will provide support and resources to help students overcome the challenges they may encounter during the course.,[],Theoretical approach,Understand key concepts,example3,individual research project
47,The course requires a strong foundation in prerequisite subjects and may be challenging for students without prior experience.,"[{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay focused"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Practice self-care"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""}]",Theoretical approach,Understand key concepts,example2,simulation exercise
48,and students will be challenged to work together to solve complex problems.,"[{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Stay positive"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Apply knowledge in practical scenarios,example6,field trip report
49,Collaboration and teamwork are essential in this course,"[{""string"":""Believe in yourself"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Machine learning algorithm,Communicate effectively,example7,individual research project
50,and students will be challenged to work together to solve complex problems.,"[{""string"":""Stay resilient"",""video_links"":""https://www.youtube.com/watch?v=Z3nfjjep0_k""},{""string"":""Set realistic goals"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""},{""string"":""Take it one step at a time"",""video_links"":""https://www.youtube.com/watch?v=gxId8M-NmWg""}]",Data visualization technique,Analyze and evaluate information,example10,field trip report
